Ferramenta,Data adicionado,Descrição,Free,Online,Status,link,Área
TANAGRA,13/04/2022   (BRT),"oferece uma interface GUI e métodos para acesso a dados, estatísticas, seleção de recursos, classificação, agrupamento, visualização, associação e muito mais.",Free,,Ativo,http://chirouble.univ-lyon2.fr/~ricco/tanagra/index.html,Suites/Plataformas
Powerhouse Data Mining,13/04/2022   (BRT),"software para modelagem preditiva e de agrupamento, baseado nas idéias de Dorian Pyle sobre o uso da Teoria da Informação na análise de dados. A maioria das informações está em espanhol. ",,,Ativo,http://www.pti.com/,Suites/Plataformas
DQ Now,13/04/2022   (BRT),"ferramentas de criação de perfil, limpeza e desduplicação, fornecendo uma visão clara dos dados",,,Ativo,http://www.dqnow.com/,"Transformação de dados, limpeza de dados"
NewView from SPSS,13/04/2022   (BRT),,,,Ativo,http://www.spss.com/software/spss/newview/,"Transformação de dados, limpeza de dados"
MetaSun,13/04/2022   (BRT),,,,Ativo,http://www.metasun.com/products/metatraffic/features.asp,Análise de mídia social
PC4.5,13/04/2022   (BRT),uma versão paralela do C4.5 construída com o sistema Persistent Linda (PLinda).,Free,,Ativo,http://www.cs.nyu.edu/~binli/pc4.5/,Classificação: Árvore de decisão
Grammarcheck.net,13/04/2022   (BRT),"uma verificação gramatical online gratuita, para inglês.",Free,online,Ativo,http://www.grammarcheck.net/,"Análise de texto, mineração de texto e recuperação de informações"
XAffinity(TM),13/04/2022   (BRT),para identificar afinidades ou padrões em transações e dados de fluxo de cliques,,,Ativo,http://www.xore.com/,Regras de associação
JReport By Jinfonet Software,13/04/2022   (BRT),capacita as empresas a incorporar os relatórios e painéis mais sofisticados em aplicativos da web,,,Ativo,,"BI, banco de dados e OLAP"
MLF: machine learning framework for Mathematica,13/04/2022   (BRT),o sistema multi-método para criar modelos computacionais compreensíveis a partir de dados.,,,Ativo,http://www.unisoftwareplus.com/products/,Classificação: Abordagens múltiplas
SPSS,13/04/2022   (BRT),"Macros, scripts e outros complementos de Raynald Levesque. ",,,Ativo,http://pages.infinit.net/rlevesqu/index.htm,Análise Estatística
Kensington Discovery Edition,13/04/2022   (BRT),"plataforma de descoberta de alto desempenho para ciências biológicas, com integração de dados de várias fontes, análise, visualização e construção de fluxo de trabalho.",,,Ativo,http://www.inforsense.com/,Suites/Plataformas
Sonamine,13/04/2022   (BRT),executa pontuação personalizada escalonável de grandes redes sociais e gráficos.,,,Ativo,http://www.sonamine.com/,"Análise de gráficos e redes sociais, links e visualização"
STATISTICA,13/04/2022   (BRT),"uma análise de dados estatísticos abrangente e integrada, gráficos, gerenciamento de banco de dados e sistema de desenvolvimento de aplicativo personalizado.",,,Ativo,http://www.statsoft.com/,Análise Estatística
Emcien,13/04/2022   (BRT),"faz descoberta automatizada e software de análise preditiva, com marca branca do Cisco Data Analytics Group.",,,Ativo,http://emcien.com/,Ciência de Dados automatizada
IREUS,13/04/2022   (BRT),"O Recomendação Factory, o portal para recomendações inteligentes de produtos e conteúdo usando a abordagem de software como serviço (SaaS), forma a prudsys.",,online,Ativo,http://www.ireus.net/,Serviços de recomendações
Machine Analytics,13/04/2022   (BRT),detecção de anomalias e análises para dados de máquina e arquivos de log.,,,Ativo,http://www.machine-analytics.com/,"Detecção de anomalia, desvio de fraude"
GAtree,13/04/2022   (BRT),indução genética e visualização de árvores de decisão (versões gratuitas e comerciais disponíveis).,Free,,Ativo,http://www.gatree.com/,Classificação: Árvore de decisão
KnowledgeMiner,13/04/2022   (BRT),"Software paralelo de 64 bits para a construção autônoma de modelos analíticos preditivos confiáveis ​​a partir de dados barulhentos de alta dimensão, usando excelentes tecnologias de mineração de conhecimento auto-organizadas. Validação de previsão ao vivo para avaliação de estabilidade do modelo. Exportação de modelo para Excel. Localizado para inglês, espanhol, alemão. Livre para tentar.",,,Ativo,http://www.knowledgeminer.eu/about.html,Classificação: Rede neural
DataPlay,13/04/2022   (BRT),"um conjunto integrado de aplicativos para análise, visualização e apresentação de dados.",,,Ativo,https://dataplay.us/,Visualização
Megaputer Polyanalyst Suite,13/04/2022   (BRT),inclui motor de análise de cesta de mercado,,,Ativo,http://www.megaputer.com/,Regras de associação
Phrazor,13/04/2022   (BRT),"(produto vPhrase) escreve histórias baseadas em IA a partir de dados, ajuda a adicionar contexto e raciocínio aos relatórios corporativos.",,,Ativo,https://phrazor.ai/,"Análise de texto, mineração de texto e recuperação de informações"
Drillet,13/04/2022   (BRT),"análise visual online interativa de dados em formato de planilha por ""drill down"".",,online,Ativo,http://drillet.appspot.com/,Visualização
Delta Miner,13/04/2022   (BRT),"integra novas técnicas de pesquisa e metodologias de ""business intelligence"" em um front-end OLAP que abraça o conceito de Active Information Management. encontra as exceções mais importantes",,,Ativo,http://www.bissantz.de/,Suites/Plataformas
LS-SVMlab,13/04/2022   (BRT),Mínimos quadrados - Support Vector Machines Matlab / C Toolbox,Free,,Ativo,http://www.esat.kuleuven.ac.be/sista/lssvmlab/,Classificação: Máquina de vetor de suporte (SVM)
MDL Clustering,13/04/2022   (BRT),"é uma coleção de algoritmos para classificação, discretização e clusterização de atributos não supervisionados, construída na plataforma Weka Data Mining.",Free,,Ativo,http://www.cs.ccsu.edu/~markov/MDLclustering,Cluster e Segmentação
Weka,13/04/2022   (BRT),coleção de algoritmos de aprendizado de máquina para resolver problemas de mineração de dados do mundo real. Ele é escrito em Java e funciona em quase todas as plataformas.,Free,,Ativo,http://www.cs.waikato.ac.nz/ml/weka/index.html,"Bibliotecas, componentes e kits de desenvolvedor"
Open Calais,13/04/2022   (BRT),"um kit de ferramentas de código aberto para incluir funcionalidade semântica em seu blog, sistema de gerenciamento de conteúdo, site ou aplicativo.",Free,,Ativo,http://www.opencalais.com/,"Análise de texto, mineração de texto e recuperação de informações"
IBM Data Science Experience,13/04/2022   (BRT),"um ambiente interativo, colaborativo e baseado em nuvem.",,,Ativo,http://datascience.ibm.com/blog/welcome-to-the-data-science-experience/,Suites/Plataformas
Xanalys Link Explorer,13/04/2022   (BRT),"fornece ferramentas poderosas de análise de rede, incluindo gráfico de links e análise de linha do tempo, mapeamento do Bing e integração com o Excel. fornecer visualização por consulta para apoiar investigações conduzidas por inteligência e encontrar links que faltam em caminhos investigativos.",,,Ativo,http://www.xanalys.com/,"Análise de gráficos e redes sociais, links e visualização"
Microsoft OLE DB,13/04/2022   (BRT),"para Data Mining, SQL Server 2005 Books Online.",,,Ativo,http://msdn2.microsoft.com/en-us/library/ms146608.aspx,"Bibliotecas, componentes e kits de desenvolvedor"
Sav Z Server,13/04/2022   (BRT),Servidor de banco de dados objeto-relacional baseado na Web implementado em JavaTM. Download grátis!,,,Ativo,http://savtechno.com/,Pesquisa na Web
Wolfram,13/04/2022   (BRT),"Solução Mathematica para Análise de Dados e Mineração, da Wolfram.",,,Ativo,http://www.wolfram.com/solutions/industry/data-analysis-and-mining/,Suites/Plataformas
Digital Information Gateway (DIG),13/04/2022   (BRT),"uma solução avançada de compartilhamento e recuperação de informações para pesquisar servidores de banco de dados, documentos, páginas da web e servidores de e-mail a partir de uma interface de usuário comum.",,,Ativo,http://www.visualanalytics.com/,Pesquisa na Web
DaMi2TM,13/04/2022   (BRT),"mecanismo de análise recentemente patenteado que fornece clustering, classificação e otimização autônoma de centenas de variáveis ​​simultaneamente em uma única operação de análise.",,,Ativo,http://www.jacobsonassoc.com/,"Estimativa, regressão e previsão"
Rapid Insight Analytics,13/04/2022   (BRT),"simplifica o processo de modelagem preditiva e exploração de dados, permitindo que usuários de todas as habilidades construam, testem e implementem modelos estatísticos na velocidade da luz.",,,Ativo,http://www.rapidinsightinc.com/,Suites/Plataformas
Gait-CAD,13/04/2022   (BRT),"Caixa de ferramentas Matlab, para a visualização e análise de séries temporais, incluindo classificação, regressão e agrupamento. Licença GNU-GPL.",,,Ativo,http://sourceforge.net/projects/gait-cad/,Padrões sequenciais e séries temporais
AlphaMiner,13/04/2022   (BRT),plataforma de mineração de dados de código aberto que oferece vários modelos de construção de mineração de dados e funcionalidade de limpeza de dados.,Free,,Ativo,http://www.eti.2hku.com/alphaminer,Suites/Plataformas
DiscoverText,13/04/2022   (BRT),"uma solução de analítica de texto baseada em nuvem com muitos recursos poderosos, incluindo um mecanismo de classificação de máquina de aprendizado ativo. Fornece informações valiosas sobre funcionários, clientes, produtos, notícias e cidadãos.",,,Ativo,http://discovertext.com/,"Análise de texto, mineração de texto e recuperação de informações"
DBisual,13/04/2022   (BRT),visualização e mineração de dados estatísticos de plataforma cruzada e ferramentas SQL para bancos de dados relacionais.,,,Ativo,http://www.roselladb.com/dbisual.htm,"BI, banco de dados e OLAP"
SoftPro Manager 4.0,13/04/2022   (BRT),Ferramenta de suporte a decisões OLAP.,,,Ativo,http://www.softpro.hr/,"BI, banco de dados e OLAP"
DataLab,13/04/2022   (BRT),"uma ferramenta de mineração de dados completa e poderosa com um processo de exploração de dados exclusivo, com foco em marketing e interoperabilidade com SAS.",,,Ativo,http://www.complex-systems.fr/datalab.shtml,Suites/Plataformas
Leximancer,13/04/2022   (BRT),faz mapas de conceito automáticos de coleções de dados de texto,,,Ativo,http://www.leximancer.com/,"Análise de texto, mineração de texto e recuperação de informações"
Matryx98,13/04/2022   (BRT),desenvolvido em Visual Basic para aplicativos e fornece análise de dados multidimensional para empresários não técnicos em um ambiente nativo do Excel.,,,Ativo,http://www.stonetimberriver.com/,"BI, banco de dados e OLAP"
